offs_lig,par_lig,prob,year,offs_fish_indiv,offs_size,offs_color,offs_sex,offs_gen_id,offs_sample_id,offs_site,offs_date,offs_anem_obs_time,offs_gps,par_fish_indiv,par_size,par_color,par_sex,par_gen_id,par_sample_id,par_site,par_date,par_anem_obs_time,par_gps,offs_time_date,offs_year,offs_month,offs_day,offs_hour,offs_minute,par_time_date,par_year,par_month,par_day,par_hour,par_minute,offs_lat,offs_lon,par_lat,par_lon,dist_par_km
L4417,L2917,1,2017,1882,2,YR,J,1882,APCL17_182,San Agustin,2017-05-22,10:31:36,5,2616,7.2,O,M,2616,APCL15_400235,Palanas,2015-05-30,15:55:00,3,2017-05-22 02:31:36,2017,5,22,2,31,2015-05-30 07:55:00,2015,5,30,7,55,10.76850781685,124.7840829799,10.8735160483,124.711774103325,14.0963461416492
L4891,L4893,1,2017,2635,5.7,YR,J,2635,APCL17_411,Sitio Baybayon,2017-06-04,11:13:25,5,1682,9.9,YP,F,1682,APCL17_413,Sitio Baybayon,2017-06-04,11:25:18,5,2017-06-04 03:13:25,2017,6,4,3,13,2017-06-04 03:25:18,2017,6,4,3,25,10.632909494475,124.7767013521,10.633200346475,124.77656024275,0.0358297435985839
L4949,L4997,0.987,2017,1006,1.9,YR,J,1006,APCL17_484,Sitio Baybayon,2017-06-05,15:06:39,5,532,9.5,YP,F,532,APCL16_228,Wangag,2016-05-21,10:07:00,3,2017-06-05 07:06:39,2017,6,5,7,6,2016-05-21 02:07:00,2016,5,21,2,7,10.6340103736,124.776558817825,10.8715184522,124.71426501635,27.2723602290064
L3851,L3815,1,2018,940,5.6,YR,J,940,APCL18_185,Sitio Baybayon,2018-03-11,15:30:00,4,1855,6.6,YP,F,1855,APCL18_236,Sitio Baybayon,2018-03-12,15:57:00,4,2018-03-11 07:30:00,2018,3,11,7,30,2018-03-12 07:57:00,2018,3,12,7,57,10.634412516375,124.776352434425,10.635104379625,124.7763698688,0.0769552927096003
L3870,L0417,0.995,2018,942,5.6,YR,J,942,APCL18_306,Haina,2018-03-15,15:04:00,4,2305,8.9,O,M,2305,APCL13_045,Poroc Rose,2013-05-23,13:26:30,1,2018-03-15 07:04:00,2018,3,15,7,4,2013-05-23 05:26:30,2013,5,23,5,26,10.641289113575,124.77813107425,10.756493,124.7858565,12.8378675497694
L3946,L4086,1,2018,902,5.9,YR,J,902,APCL18_411,Sitio Baybayon,2018-03-18,14:58:00,4,2762,7.9,O,M,2762,APCL18_590,Visca,2018-03-29,10:09:00,4,2018-03-18 06:58:00,2018,3,18,6,58,2018-03-29 02:09:00,2018,3,29,2,9,10.6330990931,124.7770551732,10.743339874325,124.786881865,12.3051504003148
L3965,L5442,1,2018,904,5.4,YR,J,904,APCL18_450,Sitio Baybayon,2018-03-19,12:13:00,4,2575,9.6,O,M,2575,APCL16_764,Tamakin Dacot,2016-06-09,12:15:00,4,2018-03-19 04:13:00,2018,3,19,4,13,2016-06-09 04:15:00,2016,6,9,4,15,10.635567689325,124.776118893625,10.6523692142,124.783815597175,2.04885355349959
L3805,L2942,1,2018,939,5.8,YR,J,939,APCL18_209,Sitio Baybayon,2018-03-12,12:00:00,4,2441,9.4,O,M,2441,APCL15_374542,Visca,2015-05-28,10:13:00,3,2018-03-12 04:00:00,2018,3,12,4,0,2015-05-28 02:13:00,2015,5,28,2,13,10.633879133975,124.77669812505,10.7438409864,124.786532507275,12.2743268696584
L3870,L0417,0.995,2018,942,5.6,YR,J,942,APCL18_306,Haina,2018-03-15,15:04:00,4,2305,8.9,O,M,2305,APCL13_045,Poroc Rose,2013-05-23,13:26:30,1,2018-03-15 07:04:00,2018,3,15,7,4,2013-05-23 05:26:30,2013,5,23,5,26,10.641289113575,124.77813107425,10.756493,124.7858565,12.8378675497694
L3965,L5442,1,2018,904,5.4,YR,J,904,APCL18_450,Sitio Baybayon,2018-03-19,12:13:00,4,2575,9.6,O,M,2575,APCL16_764,Tamakin Dacot,2016-06-09,12:15:00,4,2018-03-19 04:13:00,2018,3,19,4,13,2016-06-09 04:15:00,2016,6,9,4,15,10.635567689325,124.776118893625,10.6523692142,124.783815597175,2.04885355349959
